"","value","date","month","year","ext_events"
"X2005.01.01",0.0983452115740095,"2005.01.01","J","2005","w.la"
"X2005.02.01",0.143261932191395,"2005.02.01","F","2005","w.la"
"X2005.03.01",0.107333228701637,"2005.03.01","M","2005","w.la"
"X2005.04.01",0.0975118818737212,"2005.04.01","A","2005","w.la"
"X2005.05.01",0.174309412638346,"2005.05.01","M","2005","w.la"
"X2005.06.01",0.0269166855585007,"2005.06.01","J","2005","w.la"
"X2005.07.01",0.347761971609933,"2005.07.01","J","2005","w.la"
"X2005.08.01",0.386880942753383,"2005.08.01","A","2005","w.la"
"X2005.09.01",0.113678546178909,"2005.09.01","S","2005","w.la"
"X2005.10.01",0.016428652263823,"2005.10.01","O","2005","w.la"
"X2005.11.01",0.0540952455429804,"2005.11.01","N","2005","w.la"
"X2005.12.01",0.094131038302467,"2005.12.01","D","2005","w.la"
"X2006.01.01",-0.014821483975365,"2006.01.01","J","2006","w.la"
"X2006.02.01",-0.191321395692371,"2006.02.01","F","2006","w.la"
"X2006.03.01",-0.0481428872971308,"2006.03.01","M","2006","w.la"
"X2006.04.01",-0.10717857451666,"2006.04.01","A","2006","w.la"
"X2006.05.01",0.0592142740885417,"2006.05.01","M","2006","w.la"
"X2006.06.01",-0.11175012588501,"2006.06.01","J","2006","w.la"
"X2006.07.01",0.0111429804847354,"2006.07.01","J","2006","w.la"
"X2006.08.01",0.15714270727975,"2006.08.01","A","2006","w.la"
"X2006.09.01",0.075488045102074,"2006.09.01","S","2006","w.la"
"X2006.10.01",-0.0352261861165365,"2006.10.01","O","2006","w.la"
"X2006.11.01",-0.138464178357806,"2006.11.01","N","2006","w.la"
"X2006.12.01",-0.0347262564159575,"2006.12.01","D","2006","w.la"
"X2007.01.01",0.100428581237793,"2007.01.01","J","2007","s.la"
"X2007.02.01",-0.0759999638512021,"2007.02.01","F","2007","s.la"
"X2007.03.01",0.080952212924049,"2007.03.01","M","2007","s.la"
"X2007.04.01",0.189071382795061,"2007.04.01","A","2007","s.la"
"X2007.05.01",-0.0151072229657854,"2007.05.01","M","2007","s.la"
"X2007.06.01",-0.0749881608145578,"2007.06.01","J","2007","s.la"
"X2007.07.01",-0.113166604723249,"2007.07.01","J","2007","s.la"
"X2007.08.01",-0.1707976659139,"2007.08.01","A","2007","s.la"
"X2007.09.01",-0.141762074970064,"2007.09.01","S","2007","s.la"
"X2007.10.01",0.079535756792341,"2007.10.01","O","2007","s.la"
"X2007.11.01",0.00613110406058175,"2007.11.01","N","2007","s.la"
