"","Var2","value","depth"
"1","314001.cnv",0.1297,2
"2","314001.cnv",0.174,3
"3","314001.cnv",0.172,4
"4","314001.cnv",0.1307,5
"5","314001.cnv",0.1246,6
"6","314001.cnv",0.1082,7
"7","314001.cnv",0.1366,8
"8","314001.cnv",0.166,9
"9","314001.cnv",0.2022,10
"10","314001.cnv",0.2755,11
"11","314001.cnv",0.3052,12
"12","314001.cnv",0.3023,13
"13","314001.cnv",0.326,14
"14","314001.cnv",0.3972,15
"15","314001.cnv",0.4764,16
"16","314001.cnv",0.5356,17
"17","314001.cnv",0.5685,18
"18","314001.cnv",0.6923,19
"19","314001.cnv",0.6938,20
"20","314001.cnv",0.7034,21
"21","314001.cnv",0.8924,22
"22","314001.cnv",0.9101,23
"23","314001.cnv",1.0086,24
"24","314001.cnv",1.148,25
"25","314001.cnv",1.2303,26
"26","314001.cnv",1.2053,27
"27","314001.cnv",1.3297,28
"28","314001.cnv",1.2992,29
"29","314001.cnv",1.3175,30
"30","314001.cnv",1.3823,31
"31","314001.cnv",1.2945,32
"32","314001.cnv",1.1918,33
"33","314001.cnv",1.2304,34
"34","314001.cnv",1.0968,35
"35","314001.cnv",1.1572,36
"36","314001.cnv",1.235,37
"37","314001.cnv",1.1408,38
"38","314001.cnv",1.0441,39
"39","314001.cnv",1.0146,40
"40","314001.cnv",0.9468,41
"41","314001.cnv",0.9069,42
"42","314001.cnv",0.8349,43
"43","314001.cnv",0.7503,44
"44","314001.cnv",0.644,45
"45","314001.cnv",0.6533,46
"46","314001.cnv",0.5576,47
"47","314001.cnv",0.4762,48
"48","314001.cnv",0.4186,49
"49","314001.cnv",0.5085,50
"50","314001.cnv",0.3187,51
"51","314001.cnv",0.3333,52
"52","314001.cnv",0.376,53
"53","314001.cnv",0.3151,54
"54","314001.cnv",0.2662,55
"55","314001.cnv",0.2397,56
"56","314001.cnv",0.2175,57
"57","314001.cnv",0.1995,58
"58","314001.cnv",0.2192,59
"59","314001.cnv",0.1968,60
"60","314001.cnv",0.1455,61
