"","X1","sl.noo","Id","depth.surf","Fluro.surf","Temp.surf","Sali.surf","Oxy.surf","depth.scm","Fluro.scm","Temp.scm","Sali.scm","Oxy.scm","scmmodes","month","Date","swr","wind","a","b","c","sigma.surf","sigma.scm","par"
"1",1,1,"m1",5.7,1.4308,24.697,36.498,4.51960349944194,7.5,1.76295,24.697,36.498,4.80682286459217,"hp","march","01/03/2013",196.75821386886,0.027060000008593,1.65340919364645,13.94150592229,39.0519509691661,24.4228316598528,24.4228316598528,49.9264287746284
"2",2,2,"m10",5.7,0.4964,26.567,36.3,4.59509854975669,32.3,1.0877,26.459,36.394,3.46317548604848,"p","march","02/03/2013",209.018036745672,0.0247266667312942,0.847976945950791,35.5337601967106,31.3944011176011,23.6945804985457,23.7982484822385,50.6624513155057
"3",3,3,"m11",5.9,0.8176,25.489,36.348,4.72374174989955,42.8,1.0512,25.485,36.345,4.49869612321979,"p","march","03/03/2013",205.47327186898,0.0216766669065692,1.06566532470042,24.3925502022841,37.009008958718,24.0685449873192,24.0675655102777,51.0221787831114
"4",4,4,"m14",5.1,0.9344,24.945,36.578,4.33584708460199,9.8,0.9709,24.944,36.584,4.69778461395598,"p","march","04/03/2013",202.08810410173,0.0202800001189947,0.929403776879369,13.9692457561933,37.7877070759543,24.4064256306463,24.411176963574,51.1135754059036
"5",5,5,"m16",5.6,0.584,28.98,36.37,4.55399213464887,23,1.01032,28.904,36.365,3.49125763400152,"p","march","05/03/2013",200.916308092091,0.0190500002400465,0.917770490368696,25.938590753433,29.830364258263,22.9569759756934,22.9788148244522,51.4279566783962
"6",6,6,"m17",5.8,2.0659,28.54,36.516,4.71046613723827,6.7,2.3579,28.539,36.515,4.54576628170901,"hp","march","10/03/2013",192.070550746134,0.0138766666597803,1.90617429492625,12.4273077475112,27.4280958900593,23.2112378522236,23.2108367302053,51.6847657744469
"7",7,7,"m18",5.8,1.095,28.325,36.619,4.70678735300683,33,2.30826,28.31,36.613,4.35184179865172,"hp","march","15/03/2013",200.95195508983,0.0198600000410806,1.7134469626272,22.2199064992844,25.759639085437,23.3583111208146,23.3588771054657,53.1711598985036
"8",8,8,"m19",5.6,0.6059,28.372,36.571,4.67902509933479,32.2,2.20825,28.31,36.556,3.86937267413724,"hp","march","01/03/2013",196.75821386886,0.027060000008593,1.4736265990997,32.8374186580502,29.1289810746728,23.3074662716145,23.317009328278,49.9264287746284
"9",9,9,"m2",5.5,1.33225,24.956,36.52,4.69469991910353,6.5,1.7009,24.956,36.52,4.67294710799589,"hp","march","02/03/2013",209.018036745672,0.0247266667312942,1.62952390594381,21.8114695320341,30.2535051801846,24.3600889623945,24.3600889623945,50.6624513155057
"10",10,10,"m3",5.4,1.6717,24.827,36.515,4.75033867440511,4.4,1.9272,24.826,36.515,4.69913273985446,"hp","march","03/03/2013",205.47327186898,0.0216766669065692,1.74599711014458,15.8501531012056,28.1756517548712,24.395821455737,24.3961266647277,51.0221787831114
"11",11,11,"m4",5.1,1.0585,25.023,36.528,4.77033206696728,32.7,1.58921,24.95,36.533,4.17951017956159,"hp","march","04/03/2013",202.08810410173,0.0202800001189947,1.45844210640288,19.1094488470636,24.7109429326212,24.3454807193941,24.3715568646428,51.1135754059036
"12",12,12,"m5",5.3,1.2994,25.12,36.529,4.89751289325416,27.5,1.58994,25.122,36.528,4.42815943426046,"hp","march","10/03/2014",192.070550746134,0.0138766666597803,1.48966550583712,13.698065441428,18.1345640567836,24.3164306823842,24.3150751842222,51.6847657744469
"13",13,13,"m6",5.2,0.6205,25.57,36.477,5.01041272485379,22,1.5184,24.413,36.512,4.6908383381401,"hp","march","02/03/2013",209.018036745672,0.0247266667312942,1.18168883397044,19.9744584854664,18.9726515775733,24.13882292361,24.5192917750062,50.6624513155057
"14",14,14,"m7",5.5,0.5694,26.086,36.539,4.68153855439975,22.4,2.02502,25.113,36.535,4.75931856386446,"hp","march","03/03/2013",205.47327186898,0.0216766669065692,1.87675642433211,24.9165556586076,16.7384900267573,24.0232185085893,24.3230260334201,51.0221787831114
"15",15,15,"m8",5.5,0.7008,25.995,36.347,4.56655940997366,32.1,0.86724,26.018,36.346,4.06581061225948,"lp","march","04/03/2013",202.08810410173,0.0202800001189947,0.731262150053256,16.9064273362968,62.1264282401008,23.9099873802005,23.9020289401262,51.1135754059036
"16",16,16,"m9",5.3,0.4161,26.413,36.311,4.566559424,32.7,1.5184,25.843,36.384,4.45733836260547,"hp","march","05/03/2013",200.916308092091,0.0190500002400465,1.22433547474635,28.1888503038944,22.7498531959798,23.7515862836143,23.9849456459947,51.4279566783962
"17",110,1,"314001.cnv",5,0.1307,26.6656,36.2766,4.34582,32,1.2945,25.6711,36.4328,4.36885,"p","march","07/03/2013",199.651128502415,0.0151066667727719,1.27267966487497,32.2754508677361,17.0032015583552,23.6459283094663,24.0746758462253,51.6762245719843
"18",210,2,"314003.cnv",5,1.1238,24.8882,36.4564,4.76311,22,4.0275,24.5336,36.4316,4.52642,"hp","march","08/03/2013",199.301523809564,0.0141833334268692,3.59487361389604,21.8475574317798,13.6876152477653,24.3337090694806,24.4231874645366,51.4544976261944
"19",31,3,"314005.cnv",5,0.7191,25.31,36.4598,4.87721,32,3.608,24.6537,36.4666,4.51493,"hp","march","08/03/2013",199.301523809564,0.0141833334268692,3.95039640120877,31.7416427729416,15.2154127056468,24.2066516934999,24.412715651378,51.4544976261944
