"","sigma","par","chl"
"V1",23.4283133333333,387.802762593333,0.338844444444444
"V2",23.4456577777778,334.306812610133,0.333195555555556
"V3",23.4453933333333,271.645608297778,0.333422222222222
"V4",23.4501355555556,226.879326184445,0.331182222222222
"V5",23.46048,210.277237100667,0.338897777777778
"V6",23.4736133333333,194.529352607889,0.326064444444444
"V7",23.4850244444444,179.150989644445,0.333775555555556
"V8",23.4985844444444,155.352318266667,0.342508888888889
"V9",23.5168777777778,144.258262432272,0.344824444444444
"V10",23.5321955555556,134.827736911111,0.371095555555556
"V11",23.5465844444444,123.293025878889,0.381313333333333
"V12",23.56452,113.718660775642,0.40938
"V13",23.58234,102.080860091029,0.437184444444444
"V14",23.5997355555556,92.0185333333335,0.484768888888889
"V15",23.6202622222222,84.9011960000002,0.517713333333333
"V16",23.6353688888889,78.2785151111113,0.569628888888889
"V17",23.6518066666667,70.5377584444446,0.629877777777778
"V18",23.6651933333333,66.7118413333335,0.706371111111111
"V19",23.67814,60.645239777778,0.7735
"V20",23.6930311111111,56.4607986666669,0.856311111111111
"V21",23.7099266666667,52.3505160000002,0.917253333333333
"V22",23.72422,47.6479000000002,0.938173333333333
"V23",23.7383177777778,42.887383777778,0.955535555555556
"V24",23.7526866666667,40.8414684444446,0.93446
"V25",23.7705844444444,37.5770526666669,0.933495555555556
"V26",23.7866133333333,34.7681380000002,0.94252
"V27",23.8064066666667,32.2017048888891,0.988766666666667
"V28",23.8138568181818,30.3976695454547,1.05202954545455
"V29",23.8564465116279,28.7007432558141,1.06011860465116
"V30",23.8716465116279,26.1827400000002,1.07946046511628
"V31",23.9426761904762,23.9841980952383,1.05247857142857
"V32",24.0183487804878,22.8686321951221,1.0698487804878
"V33",24.0286804878049,21.223240487805,1.05497073170732
"V34",24.0376585365854,19.8634390243904,1.02449268292683
"V35",24.0451536585366,18.1805631463416,0.979809756097561
"V36",24.041685,17.3031117500002,0.980025
"V37",24.0510325,16.2345010500002,0.920065
"V38",24.0578325,14.8950634250002,0.8730175
"V39",24.0663325,13.7641957750002,0.82123
"V40",24.074765,12.7479170250002,0.7939725
"V41",24.0838225,11.8314235000002,0.7752875
"V42",24.09239,11.2561522750002,0.734595
"V43",24.101925,10.5022048250002,0.725455
"V44",24.1104525,9.62687163750017,0.67311
"V45",24.1166425,9.08800433000017,0.6107
"V46",24.1235,8.63173617995017,0.568675
"V47",24.1309275,7.94347817390017,0.529515
"V48",24.2011615384615,7.35644764889762,0.481289743589744
"V49",24.2097615384615,6.8460253932848,0.45685641025641
"V50",24.2189743589744,6.3753595897438,0.412005128205128
"V51",24.2871894736842,6.08296239605282,0.374981578947368
"V52",24.2955421052632,5.7016866673686,0.353921052631579
"V53",24.3048315789474,5.44227075778966,0.331828947368421
"V54",24.3022432432432,5.15885383222992,0.32027027027027
"V55",24.3123083333333,4.91014509972244,0.303413888888889
"V56",24.3204138888889,4.62943918055578,0.283363888888889
"V57",24.3273083333333,4.33058408730578,0.267072222222222
"V58",24.3352138888889,3.99375068566689,0.256233333333333
"V59",24.3419861111111,3.71597520833358,0.248433333333333
"V60",24.3480027777778,3.53221742222247,0.236261111111111
"V61",24.3569166666667,3.30579518055581,0.240822222222222
"V62",24.3648666666667,3.09496519916692,0.226177777777778
"V63",24.3709444444444,2.89000037927803,0.214802777777778
"V64",24.3780694444444,2.69911863888917,0.197383333333333
"V65",24.3848944444444,2.54316002777806,0.181222222222222
"V66",24.3901944444444,2.36412711111139,0.176055555555556
"V67",24.3957944444444,2.22026519444472,0.169716666666667
"V68",24.4025527777778,2.06830444444472,0.158666666666667
"V69",24.4078277777778,1.92317873888917,0.15135
"V70",24.4124457142857,1.80522212857171,0.142825714285714
"V71",24.4176342857143,1.70773986200029,0.131471428571429
"V72",24.4263485714286,1.60870741454314,0.126905714285714
"V73",24.4324228571429,1.49908024957171,0.116785714285714
"V74",24.4388628571429,1.40794251428603,0.103922857142857
"V75",24.4451771428571,1.3279836857146,0.105591428571429
"V76",24.45042,1.26210014285746,0.0926142857142857
"V77",24.4554028571429,1.18230654285746,0.0880457142857143
"V78",24.4612342857143,1.10822400000031,0.0870257142857143
"V79",24.4555441176471,1.07803605882382,0.0811705882352941
"V80",24.4616617647059,1.02938220588265,0.0726411764705882
"V81",24.4684941176471,0.980435500000294,0.0615205882352941
"V82",24.4767529411765,0.925196441176765,0.0549588235294118
"V83",24.4856882352941,0.868719882353235,0.0503852941176471
"V84",24.4948617647059,0.82905485294147,0.0431117647058823
"V85",24.5027088235294,0.786524500000294,0.0405970588235294
"V86",24.5098852941176,0.734657147059118,0.0332117647058824
"V87",24.5162911764706,0.695052388235588,0.0241411764705882
"V88",24.5221294117647,0.665029305882647,0.0196294117647059
"V89",24.5283147058824,0.629753096765,0.0156764705882353
"V90",24.5354470588235,0.591867415294412,0.0149176470588235
"V91",24.5419294117647,0.557555695412059,0.00898529411764706
"V92",24.5491588235294,0.526446442428471,0.00660588235294118
"V93",24.5573205882353,0.497368226470912,0.00129117647058824
"V94",24.5676382352941,0.469172985294441,-0.00440882352941176
"V95",24.5748470588235,0.444623654706206,-0.00514705882352941
"V96",24.5829411764706,0.422856107647382,-0.00764705882352941
"V97",24.5910705882353,0.4030960589415,-0.00861470588235294
"V98",24.5978294117647,0.386037586765059,-0.00910588235294118
"V99",24.6282939393939,0.379181387879152,-0.0161636363636364
"V100",24.6333151515152,0.358329842424606,-0.0163818181818182
