,date,den,loc
1,01/01/01,NA,NEAS
2,01/02/01,NA,NEAS
3,01/03/01,NA,NEAS
4,01/04/01,NA,NEAS
5,01/05/01,NA,NEAS
6,01/06/01,NA,NEAS
7,01/07/01,NA,NEAS
8,01/08/01,NA,NEAS
9,01/09/01,NA,NEAS
10,01/10/01,NA,NEAS
11,01/11/01,NA,NEAS
12,01/12/01,23.93899918,NEAS
13,01/01/02,24.18400002,NEAS
14,01/02/02,24.26133283,NEAS
15,01/03/02,23.9059995,NEAS
16,01/04/02,23.12580032,NEAS
17,01/05/02,23.00940018,NEAS
18,01/06/02,23.23480034,NEAS
19,01/07/02,23.84160042,NEAS
20,01/08/02,24.14599991,NEAS
21,01/09/02,23.84112501,NEAS
22,01/10/02,23.22049999,NEAS
23,01/11/02,23.44819946,NEAS
24,01/12/02,23.96139984,NEAS
25,01/01/03,24.37928608,NEAS
26,01/02/03,24.43142864,NEAS
27,01/03/03,24.17714282,NEAS
28,01/04/03,23.59657151,NEAS
29,01/05/03,23.15233326,NEAS
30,01/06/03,23.11542811,NEAS
31,01/07/03,23.45116647,NEAS
32,01/08/03,23.86542838,NEAS
33,01/09/03,23.77950025,NEAS
34,01/10/03,23.48871395,NEAS
35,01/11/03,23.52883339,NEAS
36,01/12/03,23.95657103,NEAS
37,01/01/04,24.21459961,NEAS
38,01/02/04,24.19259949,NEAS
39,01/03/04,23.58749962,NEAS
40,01/04/04,23.37049961,NEAS
41,01/05/04,23.09014293,NEAS
42,01/06/04,23.30857113,NEAS
43,01/07/04,23.58987546,NEAS
44,01/08/04,23.87150002,NEAS
45,01/09/04,23.85620041,NEAS
46,01/10/04,23.58600006,NEAS
47,01/11/04,23.24399996,NEAS
48,01/12/04,23.68225002,NEAS
49,01/01/05,24.27574968,NEAS
50,01/02/05,24.28839989,NEAS
51,01/03/05,24.07299995,NEAS
52,01/04/05,23.48425007,NEAS
53,01/05/05,23.18279991,NEAS
54,01/06/05,23.0996666,NEAS
55,01/07/05,23.80799961,NEAS
56,01/08/05,24.11150074,NEAS
57,01/09/05,23.71385738,NEAS
58,01/10/05,23.30799947,NEAS
59,01/11/05,23.44142859,NEAS
60,01/12/05,23.95942824,NEAS
61,01/01/06,24.31587481,NEAS
62,01/02/06,24.24274969,NEAS
63,01/03/06,24.01449998,NEAS
64,01/04/06,23.47224998,NEAS
65,01/05/06,23.02371461,NEAS
66,01/06/06,22.89160042,NEAS
67,01/07/06,23.42449999,NEAS
68,01/08/06,23.88225031,NEAS
69,01/09/06,23.65833346,NEAS
70,01/10/06,23.24050013,NEAS
71,01/11/06,23.16925049,NEAS
72,01/12/06,23.69259949,NEAS
73,01/01/07,24.38399982,NEAS
74,01/02/07,24.21425009,NEAS
75,01/03/07,24.00420036,NEAS
76,01/04/07,23.51049995,NEAS
77,01/05/07,22.95180016,NEAS
78,01/06/07,23.01166662,NEAS
79,01/07/07,23.39083322,NEAS
80,01/08/07,23.62216663,NEAS
81,01/09/07,23.46683311,NEAS
82,01/10/07,23.40866661,NEAS
83,01/11/07,23.51383336,NEAS
84,01/12/07,24.02900009,NEAS
85,01/01/08,24.40000025,NEAS
86,01/02/08,24.60557147,NEAS
87,01/03/08,24.24500002,NEAS
88,01/04/08,23.6038002,NEAS
89,01/05/08,22.99560013,NEAS
90,01/06/08,23.07885715,NEAS
91,01/07/08,23.65900002,NEAS
92,01/08/08,23.83000031,NEAS
93,01/09/08,23.68279991,NEAS
94,01/10/08,23.4119997,NEAS
95,01/11/08,23.58985737,NEAS
96,01/12/08,23.82428578,NEAS
97,01/01/09,24.204,NEAS
98,01/02/09,24.23042842,NEAS
99,01/03/09,23.93285724,NEAS
100,01/04/09,23.53700002,NEAS
101,01/05/09,23.15700006,NEAS
102,01/06/09,23.13177808,NEAS
103,01/07/09,23.34263628,NEAS
104,01/08/09,23.57509093,NEAS
105,01/09/09,23.43109989,NEAS
106,01/10/09,23.36300005,NEAS
107,01/11/09,23.57942881,NEAS
108,01/12/09,24.06557165,NEAS
109,01/01/10,24.38657134,NEAS
110,01/02/10,24.33900016,NEAS
111,01/03/10,23.83811103,NEAS
112,01/04/10,23.28388892,NEAS
113,01/05/10,22.79799979,NEAS
114,01/06/10,22.94500008,NEAS
115,01/07/10,23.22080002,NEAS
116,01/08/10,23.51987481,NEAS
